ID,日期,开盘价,收盘价,是否缺失数据，1是0否,周一,周二,周三,周四,周五,周六,周日
1,2002/10/31,83.9,83.91,0,0,0,0,1,0,0,0
2,2002/11/01,84.5,84.51,0,0,0,0,0,1,0,0
3,2002/11/02,84.51,84.51,1,0,0,0,0,0,1,0
4,2002/11/03,84.51,84.51,1,0,0,0,0,0,0,1
5,2002/11/04,84.9,84.99,0,1,0,0,0,0,0,0
6,2002/11/05,85.1,85.13,0,0,1,0,0,0,0,0
7,2002/11/06,84.9,84.9,0,0,0,1,0,0,0,0
8,2002/11/07,85,85.14,0,0,0,0,1,0,0,0
9,2002/11/08,85.25,85.16,0,0,0,0,0,1,0,0
10,2002/11/09,85.16,85.16,1,0,0,0,0,0,1,0
11,2002/11/10,85.16,85.16,1,0,0,0,0,0,0,1
12,2002/11/11,85.18,85.19,0,1,0,0,0,0,0,0
13,2002/11/12,85.26,85.29,0,0,1,0,0,0,0,0
14,2002/11/13,85.7,85.99,0,0,0,1,0,0,0,0
15,2002/11/14,84.62,84.97,0,0,0,0,1,0,0,0
16,2002/11/15,85,85,0,0,0,0,0,1,0,0
17,2002/11/16,85,85,1,0,0,0,0,0,1,0
18,2002/11/17,85,85,1,0,0,0,0,0,0,1
19,2002/11/18,85.26,85.28,0,1,0,0,0,0,0,0
20,2002/11/19,84.85,85.22,0,0,1,0,0,0,0,0
21,2002/11/20,85.3,85,0,0,0,1,0,0,0,0
22,2002/11/21,84.78,85.04,0,0,0,0,1,0,0,0
23,2002/11/22,85.1,85.18,0,0,0,0,0,1,0,0
24,2002/11/23,85.18,85.18,1,0,0,0,0,0,1,0
25,2002/11/24,85.18,85.18,1,0,0,0,0,0,0,1
26,2002/11/25,85.21,85.39,0,1,0,0,0,0,0,0
27,2002/11/26,85.32,85.37,0,0,1,0,0,0,0,0
28,2002/11/27,85.4,85.52,0,0,0,1,0,0,0,0
29,2002/11/28,85.55,85.53,0,0,0,0,1,0,0,0
30,2002/11/29,85.53,85.53,1,0,0,0,0,1,0,0
31,2002/11/30,85.53,85.53,1,0,0,0,0,0,1,0
32,2002/12/01,85.53,85.53,1,0,0,0,0,0,0,1
33,2002/12/02,85.33,85.55,0,1,0,0,0,0,0,0
34,2002/12/03,85.5,85.55,0,0,1,0,0,0,0,0
35,2002/12/04,86,85.95,0,0,0,1,0,0,0,0
36,2002/12/05,86,85.95,0,0,0,0,1,0,0,0
37,2002/12/06,85.95,86.23,0,0,0,0,0,1,0,0
38,2002/12/07,86.23,86.23,1,0,0,0,0,0,1,0
39,2002/12/08,86.23,86.23,1,0,0,0,0,0,0,1
40,2002/12/09,86.69,86.55,0,1,0,0,0,0,0,0
41,2002/12/10,86.6,86.6,0,0,1,0,0,0,0,0
42,2002/12/11,86.55,86.32,0,0,0,1,0,0,0,0
43,2002/12/12,86.4,86.45,0,0,0,0,1,0,0,0
44,2002/12/13,87.84,87.9,0,0,0,0,0,1,0,0
45,2002/12/14,87.9,87.9,1,0,0,0,0,0,1,0
46,2002/12/15,87.9,87.9,1,0,0,0,0,0,0,1
47,2002/12/16,88.8,89.53,0,1,0,0,0,0,0,0
48,2002/12/17,89.8,90.11,0,0,1,0,0,0,0,0
49,2002/12/18,90.15,90.15,0,0,0,1,0,0,0,0
50,2002/12/19,91.62,93.66,0,0,0,0,1,0,0,0
51,2002/12/20,94,94.4,0,0,0,0,0,1,0,0
52,2002/12/21,94.4,94.4,1,0,0,0,0,0,1,0
53,2002/12/22,94.4,94.4,1,0,0,0,0,0,0,1
54,2002/12/23,93.8,93.44,0,1,0,0,0,0,0,0
55,2002/12/24,93.65,93.1,0,0,1,0,0,0,0,0
56,2002/12/25,93.2,93.05,0,0,0,1,0,0,0,0
57,2002/12/26,92.55,93.01,0,0,0,0,1,0,0,0
58,2002/12/27,93.8,93.61,0,0,0,0,0,1,0,0
59,2002/12/28,93.61,93.61,1,0,0,0,0,0,1,0
60,2002/12/29,93.61,93.61,1,0,0,0,0,0,0,1
61,2002/12/30,93.8,93.86,0,1,0,0,0,0,0,0
62,2002/12/31,93.35,92.79,0,0,1,0,0,0,0,0
63,2003/01/01,92.79,92.79,1,0,0,1,0,0,0,0
64,2003/01/02,93,92.87,0,0,0,0,1,0,0,0
65,2003/01/03,92.8,92.81,0,0,0,0,0,1,0,0
66,2003/01/04,92.81,92.81,1,0,0,0,0,0,1,0
67,2003/01/05,92.81,92.81,1,0,0,0,0,0,0,1
68,2003/01/06,93.99,93.95,0,1,0,0,0,0,0,0
69,2003/01/07,93.75,93.67,0,0,1,0,0,0,0,0
70,2003/01/08,93.6,93.37,0,0,0,1,0,0,0,0
71,2003/01/09,94.36,94.22,0,0,0,0,1,0,0,0
72,2003/01/10,94.38,94.2,0,0,0,0,0,1,0,0
73,2003/01/11,94.2,94.2,1,0,0,0,0,0,1,0
74,2003/01/12,94.2,94.2,1,0,0,0,0,0,0,1
75,2003/01/13,94.3,94.4,0,1,0,0,0,0,0,0
76,2003/01/14,94.75,94.8,0,0,1,0,0,0,0,0
77,2003/01/15,94.8,94.88,0,0,0,1,0,0,0,0
78,2003/01/16,89.78,89.85,0,0,0,0,1,0,0,0
79,2003/01/17,95.5,95.58,0,0,0,0,0,1,0,0
80,2003/01/18,95.58,95.58,1,0,0,0,0,0,1,0
81,2003/01/19,95.58,95.58,1,0,0,0,0,0,0,1
82,2003/01/20,95.58,95.58,1,1,0,0,0,0,0,0
83,2003/01/21,96,96.27,0,0,1,0,0,0,0,0
84,2003/01/22,97.5,97.42,0,0,0,1,0,0,0,0
85,2003/01/23,98.48,97.7,0,0,0,0,1,0,0,0
86,2003/01/24,98.3,97.98,0,0,0,0,0,1,0,0
87,2003/01/25,97.98,97.98,1,0,0,0,0,0,1,0
88,2003/01/26,97.98,97.98,1,0,0,0,0,0,0,1
89,2003/01/27,98.5,98.1,0,1,0,0,0,0,0,0
90,2003/01/28,98.12,97.24,0,0,1,0,0,0,0,0
91,2003/01/29,97.78,97.7,0,0,0,1,0,0,0,0
92,2003/01/30,97.7,97.7,1,0,0,0,1,0,0,0
93,2003/01/31,97.7,97.7,1,0,0,0,0,1,0,0
94,2003/02/01,97.7,97.7,1,0,0,0,0,0,1,0
95,2003/02/02,97.7,97.7,1,0,0,0,0,0,0,1
96,2003/02/03,97.7,97.7,1,1,0,0,0,0,0,0
97,2003/02/04,97.7,97.7,1,0,1,0,0,0,0,0
98,2003/02/05,97.7,97.7,1,0,0,1,0,0,0,0
99,2003/02/06,97.7,97.7,1,0,0,0,1,0,0,0
100,2003/02/07,97.7,97.7,1,0,0,0,0,1,0,0
101,2003/02/08,97.7,97.7,1,0,0,0,0,0,1,0
102,2003/02/09,97.7,97.7,1,0,0,0,0,0,0,1
103,2003/02/10,98.5,99.07,0,1,0,0,0,0,0,0
104,2003/02/11,97.55,97.41,0,0,1,0,0,0,0,0
105,2003/02/12,97.11,97.2,0,0,0,1,0,0,0,0
106,2003/02/13,94.1,94.36,0,0,0,0,1,0,0,0
107,2003/02/14,96.58,96.46,0,0,0,0,0,1,0,0
108,2003/02/15,96.46,96.46,1,0,0,0,0,0,1,0
109,2003/02/16,96.46,96.46,1,0,0,0,0,0,0,1
110,2003/02/17,92.5,93.22,0,1,0,0,0,0,0,0
111,2003/02/18,94,94.07,0,0,1,0,0,0,0,0
112,2003/02/19,93,93.43,0,0,0,1,0,0,0,0
113,2003/02/20,94.9,94.88,0,0,0,0,1,0,0,0
114,2003/02/21,95.5,95.19,0,0,0,0,0,1,0,0
115,2003/02/22,95.19,95.19,1,0,0,0,0,0,1,0
116,2003/02/23,95.19,95.19,1,0,0,0,0,0,0,1
117,2003/02/24,94.31,94.74,0,1,0,0,0,0,0,0
118,2003/02/25,96.5,95.74,0,0,1,0,0,0,0,0
119,2003/02/26,95.18,94.65,0,0,0,1,0,0,0,0
120,2003/02/27,95.3,94.93,0,0,0,0,1,0,0,0
121,2003/02/28,93.78,93.59,0,0,0,0,0,1,0,0
122,2003/03/01,93.59,93.59,1,0,0,0,0,0,1,0
123,2003/03/02,93.59,93.59,1,0,0,0,0,0,0,1
124,2003/03/03,93.28,93.02,0,1,0,0,0,0,0,0
125,2003/03/04,93.88,93.95,0,0,1,0,0,0,0,0
126,2003/03/05,95,94.93,0,0,0,1,0,0,0,0
127,2003/03/06,94.97,94.61,0,0,0,0,1,0,0,0
128,2003/03/07,94.9,94.89,0,0,0,0,0,1,0,0
129,2003/03/08,94.89,94.89,1,0,0,0,0,0,1,0
130,2003/03/09,94.89,94.89,1,0,0,0,0,0,0,1
131,2003/03/10,94.75,94.56,0,1,0,0,0,0,0,0
