ID,开盘价,收盘价,开盘价(预测),收盘价(预测)
1,85.53,85.53,85.501114815474,85.63845911886
2,85.53,85.53,85.671825950146,85.677146859326
3,85.33,85.55,85.61534027338,85.536191627524
4,85.5,85.55,85.799472153187,85.799073257516
5,86,85.95,85.8271504879,85.8519002291
6,86,85.95,86.112532907724,85.982044099324
7,85.95,86.23,86.015492677689,86.259513699382
8,86.23,86.23,86.483315674067,86.168557984926
9,86.23,86.23,86.339270203114,86.541331445292
10,86.69,86.55,86.270511182547,86.24141704963
11,86.6,86.6,86.660428887606,86.659044570032
12,86.55,86.32,86.723407411575,86.785168032155
13,86.4,86.45,86.490373945236,86.383609173035
14,87.84,87.9,86.573811995983,86.43291269919
15,87.9,87.9,87.996119248867,88.136978362712
16,87.9,87.9,88.210886514187,88.043515649414
17,88.8,89.53,87.73032694459,87.931052519685
18,89.8,90.11,89.815198767185,89.681154909019
19,90.15,90.15,90.368214972019,90.328113481971
20,91.62,93.66,90.346407008171,90.364414667191
21,94,94.4,93.65213973999,93.585495017984
22,94.4,94.4,94.532598304749,94.685701165267
23,94.4,94.4,94.556365394592,94.780430153765
24,93.8,93.44,94.710536384583,94.590175333842
25,93.65,93.1,93.607573852539,93.858626613204
26,93.2,93.05,93.302845180035,93.240731210839
27,92.55,93.01,93.472210949659,93.385631736627
28,93.8,93.61,93.145635296106,92.981365308932
29,93.61,93.61,93.617074921131,93.920359760291
30,93.61,93.61,93.931975866556,93.872197670559
31,93.8,93.86,93.825450319052,93.783926506721
32,93.35,92.79,94.011196739674,94.114906391457
33,92.79,92.79,92.965058190823,92.950329816063
34,93,92.87,92.829500366449,92.577126005249
35,92.8,92.81,92.845848686099,92.830884631583
36,92.81,92.81,93.008938442469,93.082337887584
37,92.81,92.81,93.104430222511,93.105906377938
38,93.99,93.95,92.941935983896,93.211612040025
39,93.75,93.67,94.17584220767,94.044844214344
40,93.6,93.37,93.992729389668,94.183603268284
41,94.36,94.22,93.925782819986,93.370521029732
42,94.38,94.2,94.214923181534,94.150567866584
43,94.2,94.2,94.249218964577,94.387728759217
44,94.2,94.2,94.343367218971,94.15028549094
45,94.3,94.4,94.389554214478,94.357159384896
46,94.75,94.8,94.641564559937,94.645456902954
47,94.8,94.88,95.216545057297,94.803095930372
48,89.78,89.85,95.215550899506,95.227752771046
49,95.5,95.58,90.13119469285,90.186818843475
50,95.58,95.58,95.045369610786,94.978815481532
51,95.58,95.58,95.835659108162,95.696165952955
52,95.58,95.58,95.820436692238,95.741443105943
53,96,96.27,95.741498894691,95.811804675244
54,97.5,97.42,96.309903019667,96.652841538572
55,98.48,97.7,97.527632703781,97.01242347247
56,98.3,97.98,97.776146435738,97.97082202408
57,97.98,97.98,98.161719403267,97.97442642213
58,97.98,97.98,97.794145832062,97.695420307639
59,98.5,98.1,98.605155394077,99.114778267397
60,98.12,97.24,98.717185306549,98.293454731544
61,97.78,97.7,97.274462752342,97.324464788841
62,97.7,97.7,97.827194130421,98.046531339551
63,97.7,97.7,97.759281945229,96.922596329778
64,97.7,97.7,97.587946641445,97.975047686636
65,97.7,97.7,97.704018127918,97.608103216972
66,97.7,97.7,98.235494160652,97.737337650526
67,97.7,97.7,97.473738634586,97.958027622558
68,97.7,97.7,98.079404449463,97.790600947224
69,97.7,97.7,97.060139334202,97.447599671588
70,97.7,97.7,97.908034205437,97.300897827468
71,97.7,97.7,98.028053939342,97.837481021447
72,97.7,97.7,97.626194560528,98.359199158931
73,98.5,99.07,97.509796965122,97.51040141695
74,97.55,97.41,99.022688882351,98.86805682504
75,97.11,97.2,97.852482000589,97.864415218721
76,94.1,94.36,97.73548822403,97.056603205731
77,96.58,96.46,94.519932432175,94.430957402414
78,96.46,96.46,96.298077844381,95.888421670566
79,96.46,96.46,96.063919422626,95.845140198635
80,92.5,93.22,96.238237422705,95.727229688015
81,94,94.07,93.653083753586,93.668077432094
82,93,93.43,94.139975471497,93.894980139194
83,94.9,94.88,93.255232405066,92.995886478212
84,95.5,95.19,94.489519281387,94.074839705517
85,95.19,95.19,95.197194335461,94.854472960361
86,95.19,95.19,95.076626805067,94.979482944209
87,94.31,94.74,95.03574164629,94.758897037418
88,96.5,95.74,95.050096285343,95.38436782247
89,95.18,94.65,95.601713205576,95.536684135729
90,95.3,94.93,94.676718521118,94.454101021949
91,93.78,93.59,94.737420817018,94.355550975193
92,93.59,93.59,93.6903330791,93.558960562606
93,93.59,93.59,93.531666684747,93.356519367562
94,93.28,93.02,94.110788146257,93.646876231356
95,93.88,93.95,93.176097714901,93.411375856614
96,95,94.93,93.987485438585,93.667555641776
97,94.97,94.61,94.810129572749,94.32534789232
98,94.9,94.89,94.815469725132,94.343370833459
99,94.89,94.89,94.915191310644,94.895011413848
100,94.89,94.89,95.212204442024,95.368246706327
101,94.75,94.56,94.554328896403,94.879530281781
102,94.8,94.26,94.716946048737,94.750390404963
103,93.6,93.73,94.323251202106,94.127534521768
104,92.5,92.76,94.304808850288,94.250852826825
105,91.2,90.24,93.10590072155,93.318326172103
106,90.24,90.24,90.27417640686,90.70487397768
107,90.24,90.24,90.224062843323,90.276173465785
108,92.3,92.15,90.15339717865,90.124197247012
109,91.03,91.1,92.725961667299,92.314384626541
110,91.1,91.1,91.291450345516,91.012279602291
111,90,89.65,91.256285774708,91.363581376862
112,89.8,90.15,89.697365283966,89.648248094626
113,90.15,90.15,89.951749929786,90.214669231359
114,90.15,90.15,90.21181511879,89.945662234738
115,88.6,89.28,90.260067880154,90.360736929785
116,89.78,89.85,89.62401386261,89.510736593368
117,89.35,88.75,90.10537058115,90.340209748389
118,89.25,89.09,89.245104044676,89.005905563022
119,88.81,88.4,89.020511013269,89.270775504258
120,88.4,88.4,88.496739768982,88.339893093286
121,88.4,88.4,88.309604167938,88.137292909501
122,89.3,89.35,88.604207324982,88.336206417983
123,89.78,89.7,89.590912234783,89.586116883803
124,89.7,89.01,89.863272535801,89.457647683271
125,88.51,88.22,89.296555774212,89.413756992707
126,87.5,86.81,88.228097815514,88.161342552086
127,86.81,86.81,86.697345592976,86.886581804491
128,86.81,86.81,86.787010677457,86.575676655518
129,86.5,86.01,87.222752252817,87.188631995735
130,86.89,86.01,86.148838459253,86.356574796957
131,86.41,86.86,86.03587905407,86.036330330214
132,87.45,87.41,86.947816674709,86.775664598089
133,87.2,87.2,87.474396119118,87.4924048617
134,87.2,87.2,87.494065570831,87.257411694435
135,87.2,87.2,87.280177021027,87.330535323236
136,87.4,87.3,87.145150518417,87.168763605014
137,86.89,86.65,87.389468729496,87.391927291706
138,86.65,86.65,86.880894976854,86.597812007433
139,86.65,86.65,86.749545246363,87.033436032069
140,86.65,86.65,86.618794625998,86.572313194989
141,86.65,86.65,86.638069444895,86.890497625506
142,86.65,86.65,86.712266135216,86.623973438597
143,86.65,86.65,86.70299025774,86.733108784391
144,86.65,86.65,86.875905835629,86.778105030446
145,86.65,86.65,86.656993061304,86.874900801377
146,86.65,86.65,86.775399947166,86.483433475994
147,86.65,86.65,86.578783366084,86.532849776701
148,86.65,86.65,86.70727699399,86.561224892864
149,86.65,86.65,86.559183168411,86.50323024145
150,86.65,86.65,86.492041516304,86.667951598204
151,86.65,86.65,86.693259882927,86.70054580548
152,86.65,86.65,86.688374036551,86.594127414082
153,86.65,86.65,86.598259609938,86.413012847952
154,86.65,86.65,86.56407417953,86.205630156557
155,86.65,86.65,86.404772862792,86.368696231609
156,86.65,86.65,86.259710741043,86.020781051049
157,86.65,86.65,86.442718225718,86.293896664784
158,86.65,86.65,86.824919497967,86.637878558606
159,86.65,86.65,86.809673178196,86.701841605363
160,86.65,86.65,86.216771072149,85.961346191801
161,86.65,86.65,86.178975486755,85.825254308583
162,86.65,86.65,86.454922512174,86.16448264762
163,86.65,86.65,86.132441157103,85.976427265744
164,86.65,86.65,86.218852463365,86.045132217486
165,86.65,86.65,86.628261598945,86.394021836672
166,86.65,86.65,86.848904561996,86.684185210278
167,86.65,86.65,86.131155136228,85.835154654879
168,86.65,86.65,86.082885453105,85.352880991826
169,86.65,86.65,86.300052544475,86.022663457184
170,86.65,86.65,86.185591521859,85.81918033144
171,86.65,86.65,86.268687063456,85.896343513272
172,86.65,86.65,86.590388542414,86.403279944907
173,86.65,86.65,86.70892971158,86.558998635356
174,86.65,86.65,86.131842046976,85.641086307469
175,86.65,86.65,86.082885453105,85.352880991826
176,86.65,86.65,86.300052544475,86.022663457184
177,86.65,86.65,86.185591521859,85.81918033144
178,86.65,86.65,86.268687063456,85.896343513272
179,86.65,86.65,86.590388542414,86.403279944907
180,86.65,86.65,86.70892971158,86.558998635356
181,86.65,86.65,86.131842046976,85.641086307469
182,86.65,86.65,86.082885453105,85.352880991826
183,86.65,86.65,86.300052544475,86.022663457184
184,86.65,86.65,86.185591521859,85.81918033144
185,86.65,86.65,86.268687063456,85.896343513272
186,86.65,86.65,86.590388542414,86.403279944907
187,86.65,86.65,86.70892971158,86.558998635356
188,86.65,86.65,86.131842046976,85.641086307469
189,86.65,86.65,86.082885453105,85.352880991826
190,86.65,86.65,86.300052544475,86.022663457184
191,86.65,86.65,86.185591521859,85.81918033144
192,86.65,86.65,86.268687063456,85.896343513272
193,86.65,86.65,86.590388542414,86.403279944907
194,86.65,86.65,86.70892971158,86.558998635356
195,86.65,86.65,86.131842046976,85.641086307469
196,86.65,86.65,86.082885453105,85.352880991826
197,86.65,86.65,86.300052544475,86.022663457184
198,86.65,86.65,86.185591521859,85.81918033144
199,86.65,86.65,86.268687063456,85.896343513272
200,86.65,86.65,86.590388542414,86.403279944907
201,86.65,86.65,86.70892971158,86.558998635356
202,86.65,86.65,86.131842046976,85.641086307469
203,86.65,86.65,86.082885453105,85.352880991826
204,86.65,86.65,86.300052544475,86.022663457184
205,86.65,86.65,86.185591521859,85.81918033144
206,86.65,86.65,86.268687063456,85.896343513272
207,86.65,86.65,86.590388542414,86.403279944907
208,86.65,86.65,86.70892971158,86.558998635356
209,86.65,86.65,86.131842046976,85.641086307469
210,86.65,86.65,86.082885453105,85.352880991826
211,86.65,86.65,86.300052544475,86.022663457184
212,86.65,86.65,86.185591521859,85.81918033144
213,86.65,86.65,86.268687063456,85.896343513272
214,86.65,86.65,86.590388542414,86.403279944907
215,86.65,86.65,86.70892971158,86.558998635356
216,86.65,86.65,86.131842046976,85.641086307469
217,86.65,86.65,86.082885453105,85.352880991826
218,86.65,86.65,86.300052544475,86.022663457184
219,86.65,86.65,86.185591521859,85.81918033144
220,86.65,86.65,86.268687063456,85.896343513272
221,86.65,86.65,86.590388542414,86.403279944907
222,86.65,86.65,86.70892971158,86.558998635356
223,86.65,86.65,86.131842046976,85.641086307469
224,86.65,86.65,86.082885453105,85.352880991826
225,86.65,86.65,86.300052544475,86.022663457184
226,86.65,86.65,86.185591521859,85.81918033144
227,86.65,86.65,86.268687063456,85.896343513272
228,86.65,86.65,86.590388542414,86.403279944907
229,86.65,86.65,86.70892971158,86.558998635356
